Spark ID,Name,Grade Level,Price per Learner
1,Art Machines,Pre-K+,5.95
2,Blendies,Pre-K+,5.95
3,Crankie Contraptions,Grade K+,6.95
4,Drawbots,Grade 2+,6.95
5,Electric Vehicles,Grade 4+,6.95
6,Flying Machines,Grade K+,5.95
7,Hypnotizers,Grade K+,6.95
8,Linkages,Pre-K+,6.95
9,Mazes,Grade 1+,6.95
10,Monster Claws,Grade 4+,6.95
11,Monster Mouths,Pre-K+,5.95
12,Scene Machines,Grade 3+,5.95
13,Straw Structures,Pre-K+,6.95
14,Strawbots,Grade 2+,6.95
15,Scene Machine,Grade 3+,5.95
16,Art Machines 2,Pre-K+,5.95
17,Electric Cars,Grade 4+,6.95
18,Mini Crankies,Grade K+,5.95
